"","V1","V2","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1",1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"2",1,2,0.25,0.25,0.175,0.25,0.25,0.25,0.25,0.175,0.25,0.25,0.25,0.175,0.25,0.175,0.25,0.25,0.25,0.175,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.175,0.175,0.25,0.25,0.25,0.25,0.175,0.175,0.25,0.25,0.25,0.25,0.175,0.25,0.25,0.25,0.25,0.175,0.175,0.175,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.175,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.175,0.25,0.25,0.25,0.175,0.25,0.25,0.25,0.25,0.25,0.25,0.175,0.25,0.25,0.25,0.175,0.25,0.175,0.25,0.25,0.25,0.175,0.175,0.25,0.25
"3",1,3,0.175,0.175,0.1825,0.25,0.25,0.175,0.175,0.1825,0.175,0.25,0.25,0.1825,0.175,0.1825,0.25,0.175,0.25,0.1825,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.1825,0.1825,0.175,0.25,0.175,0.25,0.1225,0.1825,0.25,0.25,0.25,0.25,0.1825,0.25,0.25,0.175,0.175,0.1825,0.1825,0.1825,0.175,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.175,0.25,0.25,0.25,0.25,0.25,0.1825,0.25,0.25,0.175,0.25,0.25,0.25,0.175,0.25,0.25,0.25,0.175,0.25,0.25,0.1825,0.25,0.25,0.25,0.1225,0.25,0.25,0.175,0.25,0.175,0.25,0.1825,0.25,0.25,0.175,0.1825,0.175,0.1225,0.25,0.25,0.25,0.1225,0.1825,0.25,0.25
"4",1,4,0.1825,0.1825,0.12775,0.175,0.175,0.1825,0.1825,0.18925,0.1825,0.175,0.25,0.18925,0.1225,0.18925,0.25,0.1825,0.25,0.18925,0.25,0.25,0.175,0.175,0.25,0.25,0.25,0.18925,0.18925,0.1825,0.25,0.1825,0.25,0.13525,0.18925,0.25,0.175,0.25,0.25,0.18925,0.25,0.25,0.1225,0.1825,0.18925,0.18925,0.18925,0.1825,0.25,0.25,0.25,0.175,0.25,0.25,0.175,0.175,0.25,0.1825,0.25,0.25,0.25,0.25,0.175,0.18925,0.25,0.25,0.1825,0.25,0.175,0.25,0.1825,0.25,0.25,0.175,0.1825,0.25,0.25,0.12775,0.25,0.25,0.175,0.13525,0.25,0.175,0.1825,0.175,0.1825,0.175,0.18925,0.175,0.175,0.1825,0.18925,0.1225,0.13525,0.25,0.25,0.25,0.08575,0.18925,0.25,0.25
"5",1,5,0.18925,0.18925,0.139975,0.1825,0.1825,0.12775,0.18925,0.195325,0.18925,0.1825,0.25,0.195325,0.13525,0.195325,0.25,0.18925,0.25,0.195325,0.25,0.25,0.1825,0.1225,0.175,0.25,0.175,0.132475,0.195325,0.18925,0.25,0.18925,0.25,0.146725,0.132475,0.175,0.1825,0.25,0.175,0.195325,0.25,0.25,0.08575,0.18925,0.195325,0.195325,0.195325,0.18925,0.175,0.25,0.25,0.1825,0.175,0.175,0.1825,0.1825,0.175,0.18925,0.175,0.175,0.175,0.25,0.1825,0.195325,0.25,0.25,0.18925,0.25,0.1825,0.25,0.18925,0.25,0.25,0.1825,0.18925,0.25,0.25,0.089425,0.25,0.25,0.1825,0.094675,0.175,0.1825,0.12775,0.1825,0.18925,0.1825,0.195325,0.1225,0.1825,0.18925,0.195325,0.13525,0.146725,0.25,0.25,0.25,0.060025,0.195325,0.25,0.25
"6",1,6,0.195325,0.195325,0.1509775,0.18925,0.18925,0.139975,0.195325,0.2007925,0.195325,0.18925,0.25,0.2007925,0.094675,0.2007925,0.25,0.195325,0.25,0.2007925,0.25,0.175,0.12775,0.13525,0.1825,0.25,0.1825,0.1442275,0.1367275,0.132475,0.25,0.195325,0.25,0.1570525,0.0927325,0.1825,0.18925,0.25,0.1825,0.2007925,0.25,0.25,0.102175,0.195325,0.2007925,0.1367275,0.1367275,0.132475,0.1825,0.25,0.25,0.18925,0.1825,0.1825,0.18925,0.18925,0.1825,0.195325,0.1825,0.1825,0.1825,0.25,0.18925,0.2007925,0.25,0.25,0.195325,0.25,0.18925,0.25,0.195325,0.175,0.25,0.18925,0.195325,0.175,0.175,0.1054825,0.175,0.25,0.12775,0.1102075,0.1825,0.18925,0.139975,0.18925,0.132475,0.12775,0.2007925,0.13525,0.12775,0.195325,0.2007925,0.146725,0.1570525,0.25,0.25,0.25,0.0790225,0.2007925,0.175,0.25
"7",1,7,0.2007925,0.2007925,0.16087975,0.195325,0.195325,0.1509775,0.2007925,0.20571325,0.2007925,0.195325,0.25,0.14055475,0.1102075,0.20571325,0.25,0.1367275,0.25,0.14055475,0.25,0.1825,0.089425,0.094675,0.12775,0.25,0.18925,0.15480475,0.14805475,0.1442275,0.25,0.1367275,0.25,0.10993675,0.10845925,0.18925,0.195325,0.175,0.18925,0.20571325,0.25,0.25,0.1169575,0.2007925,0.14055475,0.14805475,0.09570925,0.1442275,0.18925,0.25,0.25,0.195325,0.12775,0.18925,0.195325,0.132475,0.18925,0.2007925,0.18925,0.18925,0.12775,0.25,0.195325,0.20571325,0.25,0.25,0.2007925,0.25,0.195325,0.25,0.2007925,0.1825,0.175,0.195325,0.2007925,0.1825,0.1825,0.07383775,0.1825,0.25,0.139975,0.12418675,0.12775,0.195325,0.1509775,0.195325,0.1442275,0.139975,0.20571325,0.146725,0.139975,0.2007925,0.20571325,0.1570525,0.16634725,0.25,0.25,0.175,0.09612025,0.20571325,0.1825,0.25
"8",1,8,0.20571325,0.20571325,0.169791775,0.2007925,0.2007925,0.16087975,0.14055475,0.210141925,0.20571325,0.2007925,0.25,0.151499275,0.07714525,0.210141925,0.25,0.14805475,0.25,0.151499275,0.175,0.18925,0.1054825,0.1102075,0.139975,0.25,0.195325,0.164324275,0.103638325,0.15480475,0.25,0.09570925,0.25,0.123943075,0.075921475,0.195325,0.2007925,0.1225,0.195325,0.210141925,0.25,0.175,0.13026175,0.20571325,0.151499275,0.158249275,0.111138325,0.15480475,0.132475,0.175,0.25,0.2007925,0.139975,0.132475,0.2007925,0.1442275,0.195325,0.20571325,0.195325,0.195325,0.089425,0.25,0.2007925,0.210141925,0.175,0.25,0.20571325,0.175,0.2007925,0.25,0.20571325,0.18925,0.1825,0.2007925,0.14055475,0.18925,0.12775,0.091453975,0.18925,0.25,0.1509775,0.136768075,0.139975,0.2007925,0.16087975,0.2007925,0.15480475,0.1509775,0.210141925,0.1027075,0.0979825,0.14055475,0.210141925,0.16634725,0.174712525,0.25,0.175,0.1225,0.111508225,0.210141925,0.18925,0.25
"9",1,9,0.143999275,0.210141925,0.1778125975,0.20571325,0.20571325,0.169791775,0.151499275,0.2141277325,0.210141925,0.20571325,0.25,0.1613493475,0.094430725,0.2141277325,0.25,0.158249275,0.25,0.1613493475,0.1225,0.195325,0.11993425,0.07714525,0.1509775,0.25,0.2007925,0.1728918475,0.1182744925,0.164324275,0.25,0.111138325,0.175,0.1365487675,0.0933293275,0.2007925,0.20571325,0.13525,0.1367275,0.2141277325,0.25,0.1825,0.142235575,0.210141925,0.1613493475,0.1674243475,0.0777968275,0.108363325,0.1442275,0.1825,0.25,0.14055475,0.1509775,0.1442275,0.20571325,0.15480475,0.2007925,0.210141925,0.1367275,0.1367275,0.1054825,0.25,0.20571325,0.2141277325,0.1825,0.175,0.143999275,0.1225,0.20571325,0.25,0.143999275,0.195325,0.18925,0.14055475,0.098388325,0.195325,0.139975,0.1073085775,0.132475,0.25,0.16087975,0.1480912675,0.0979825,0.14055475,0.169791775,0.20571325,0.164324275,0.10568425,0.2141277325,0.11743675,0.11318425,0.151499275,0.2141277325,0.116443075,0.1822412725,0.25,0.1225,0.13525,0.0780557575,0.2141277325,0.132475,0.25
"10",1,10,0.1545993475,0.1470993475,0.18503133775,0.210141925,0.210141925,0.1778125975,0.1060494925,0.21771495925,0.2141277325,0.210141925,0.25,0.17021441275,0.1099876525,0.21771495925,0.25,0.1674243475,0.25,0.11294454325,0.13525,0.2007925,0.132940825,0.094430725,0.10568425,0.25,0.20571325,0.18060266275,0.13144704325,0.1728918475,0.25,0.1250244925,0.1825,0.14789389075,0.10899639475,0.14055475,0.210141925,0.146725,0.14805475,0.21771495925,0.25,0.18925,0.1530120175,0.2141277325,0.17021441275,0.17568191275,0.09501714475,0.1225269925,0.15480475,0.12775,0.175,0.151499275,0.16087975,0.15480475,0.210141925,0.164324275,0.20571325,0.2141277325,0.14805475,0.09570925,0.11993425,0.25,0.210141925,0.14988941275,0.12775,0.1825,0.1545993475,0.13525,0.143999275,0.25,0.1007994925,0.2007925,0.195325,0.151499275,0.1135494925,0.2007925,0.1509775,0.12157771975,0.1442275,0.25,0.169791775,0.15828214075,0.11318425,0.151499275,0.1188542425,0.210141925,0.1150269925,0.120115825,0.21771495925,0.130693075,0.126865825,0.1060494925,0.21771495925,0.1297987675,0.18901714525,0.175,0.13525,0.146725,0.09525018175,0.21771495925,0.1442275,0.25
